DB Accession Number,Molecule Names,ATC Codes,Type,Groups,DB SMILES,Neutralized SMILES
DB00809; CHEMBL1200604,Tropicamide ; Tropicamide,S01FA,Small Molecule,NotAvailable,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
DB00810; CHEMBL1101; JUAN65,Biperiden ; Biperiden; Biperideno,N04AA,Small Molecule,NotAvailable,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
DB00811; ZINC000001035331; CHEMBL1643; D00423; D00423_rep,Ribavirin ; RIBAVIRIN; Ribavirin; Copegus; Rebetol,J05AB; J05AP,Small Molecule,NotAvailable,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
DB00812; CHEMBL101,Phenylbutazone ; Phenylbutazone,M01AA; M01BA; M02AA,Small Molecule,NotAvailable,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
DB00813; ZINC000002522669; CHEMBL596; JUAN8,Fentanyl ; FENTANYL; FENTANYL CITRATE; FENTANYL HYDROCHLORIDE; Fentanyl; Fentanyl,N01AH; N02AB,Small Molecule,NotAvailable,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
DB00814; ZINC000013129998; CHEMBL599; D00969,Meloxicam ; MELOXICAM; MELOXICAM SODIUM; Meloxicam; Mobic,M01AC; N01BB,Small Molecule,NotAvailable,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
DB00816; CHEMBL776,Orciprenaline ; Orciprenaline,R03AB; R03CB,Small Molecule,NotAvailable,CC(C)NCC(O)C1=CC(O)=CC(O)=C1,CC(C)NCC(O)c1cc(O)cc(O)c1
DB00817; CHEMBL291157,Rosoxacin ; Rosoxacin,J01MB,Small Molecule,NotAvailable,CCN1C=C(C(O)=O)C(=O)C2=C1C=C(C=C2)C1=CC=NC=C1,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21
DB00818; ZINC000000968303; CHEMBL526,Propofol ; PROPOFOL; Propofol,N01AX,Small Molecule,NotAvailable,CC(C)C1=CC=CC(C(C)C)=C1O,CC(C)c1cccc(C(C)C)c1O
DB00819; ZINC000003813042; CHEMBL20,Acetazolamide ; ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; Acetazolamide,G01AE; S01EC,Small Molecule,NotAvailable,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,CC(=O)Nc1nnc(S(N)(=O)=O)s1
DB00820; ZINC000003993855; CHEMBL779; D02008,Tadalafil ; TADALAFIL; Tadalafil; Cialis,C02KX; G04BE; G04CA; G04CB,Small Molecule,NotAvailable,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
DB00822; ZINC000001529266; CHEMBL964; JUAN202,Disulfiram ; DISULFIRAM; Disulfiram; Disulfiram,N07BB; P03AA,Small Molecule,NotAvailable,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC
DB00826; ZINC000008220909; CHEMBL1200656,Natamycin ; NATAMYCIN; Natamycin,A01AB; A07AA; D01AA; G01AA; S01AA,Small Molecule,NotAvailable,[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O
DB00827; CHEMBL1208,Cinoxacin ; Cinoxacin,J01MB,Small Molecule,NotAvailable,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
DB00828; ZINC000001530427; CHEMBL1757,Fosfomycin ; FOSFOMYCIN; FOSFOMYCIN SODIUM; FOSFOMYCIN TROMETHAMINE; PHOSPHOMYCIN DISODIUM; Fosfomycin,J01XX; S02AA,Small Molecule,NotAvailable,C[C@@H]1O[C@@H]1P(O)(O)=O,C[C@@H]1O[C@@H]1P(=O)(O)O
DB00829; ZINC000000006427; CHEMBL12; JUAN110,Diazepam ; DIAZEPAM; DIAZEPAM HYDROCHLORIDE; Diazepam; Diazepam,N05BA,Small Molecule,NotAvailable,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
DB00831; ZINC000019418959; CHEMBL422; JUAN86,Trifluoperazine ; TRIFLUOPERAZINE; TRIFLUOPERAZINE DIHYDROCHLORIDE; TRIFLUOPERAZINE HYDROCHLORIDE; Trifluoperazine; Trifluoperazine,N05AB,Small Molecule,NotAvailable,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
DB00832; CHEMBL797,Phensuximide ; Phensuximide,N03AD,Small Molecule,NotAvailable,CN1C(=O)CC(C1=O)C1=CC=CC=C1,CN1C(=O)CC(c2ccccc2)C1=O
DB00833; ZINC000003812869; CHEMBL1201018,Cefaclor ; CEFACLOR; CEFACLOR HYDRATE; Cefaclor,J01DC,Small Molecule,NotAvailable,[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1
DB00834; ZINC000003831128; CHEMBL1276308,Mifepristone ; MIFEPRISTONE; Mifepristone,G03XB,Small Molecule,NotAvailable,[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
DB00835; CHEMBL811; JUAN715,Brompheniramine ; Brompheniramine; Dexbrompheninine,R01BA; R06AB,Small Molecule,NotAvailable,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
DB00836; ZINC000000537928; CHEMBL841,Loperamide ; LOPERAMIDE; LOPERAMIDE HYDROCHLORIDE; Loperamide,A07DA,Small Molecule,NotAvailable,CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
DB00838,Clocortolone ,D07AB,Small Molecule,NotAvailable,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
DB00839; CHEMBL817,Tolazamide ; Tolazamide,A10BB; G01AE,Small Molecule,NotAvailable,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
DB00841; CHEMBL926; JUAN233,Dobutamine ; Dobutamine; Dobutamine,C01CA,Small Molecule,NotAvailable,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
DB00842; CHEMBL568,Oxazepam ; Oxazepam,N05BA,Small Molecule,NotAvailable,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
DB00843; CHEMBL502; D07869; JUAN190,Donepezil ; Donepezil; Allydone; Donepezil,N06DA,Small Molecule,NotAvailable,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
DB00844; ZINC000003812989; CHEMBL895,Nalbuphine ; NALBUPHINE; NALBUPHINE HYDROCHLORIDE; Nalbuphine,N02AF,Small Molecule,NotAvailable,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
DB00845; JUAN506,Clofazimine ; Clofazimine,J04BA,Small Molecule,NotAvailable,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
DB00846; ZINC000004097308; CHEMBL1201012,Flurandrenolide ; FLURANDRENOLIDE; Fludroxycortide,D07AC; D07CC,Small Molecule,NotAvailable,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DB00847; ZINC000008034121; CHEMBL602; D03635,Cysteamine ; CYSTEAMINE; CYSTEAMINE BITARTRATE; CYSTEAMINE HYDROCHLORIDE; Mercaptamine; Cystadrops,A16AA; S01XA,Small Molecule,NotAvailable,NCCS,NCCS
DB00848; CHEMBL1454,Levamisole ; Levamisole,P02CE,Small Molecule,NotAvailable,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,c1ccc([C@H]2CN3CCSC3=N2)cc1
DB00849; CHEMBL45029,Methylphenobarbital ; Methylphenobarbital,N03AA; N05CB,Small Molecule,NotAvailable,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
DB00850; ZINC000019228902; CHEMBL567; JUAN85,Perphenazine ; PERPHENAZINE; Perphenazine; Perfenazin,N05AB,Small Molecule,NotAvailable,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
DB00851; ZINC000100019007; CHEMBL476,Dacarbazine ; DACARBAZINE; Dacarbazine,L01AX,Small Molecule,NotAvailable,CN(C)\N=N\C1=C(N=CN1)C(N)=O,CN(C)/N=N/c1[nH]cnc1C(N)=O
DB00852; ZINC000000020259; CHEMBL1590,Pseudoephedrine ; PSEUDOEPHEDRINE; PSEUDOEPHEDRINE HYDROCHLORIDE; PSEUDOEPHEDRINE SULFATE; Pseudoephedrine,R01BA,Small Molecule,NotAvailable,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,CN[C@@H](C)[C@@H](O)c1ccccc1
DB00853; ZINC000001482184; CHEMBL810; D06067; JUAN562,Temozolomide ; TEMOZOLOMIDE; Temozolomide; Temodal; Temozolodide,L01AX,Small Molecule,NotAvailable,CN1N=NC2=C(N=CN2C1=O)C(N)=O,Cn1nnc2c(C(N)=O)ncn2c1=O
DB00855; ZINC000003782550; CHEMBL601; D02908; JUAN605,"Aminolevulinic acid ; AMINOLEVULINIC ACID; AMINOLEVULINIC ACID HYDROCHLORIDE; Aminolevulinic acid; Alabel, Alaglio; Aminolevulinate",L01XD,Small Molecule,NotAvailable,NCC(=O)CCC(O)=O,NCC(=O)CCC(=O)O
DB00856,Chlorphenesin ,D01AE,Small Molecule,NotAvailable,OCC(O)COC1=CC=C(Cl)C=C1,OCC(O)COc1ccc(Cl)cc1
DB00857; ZINC000001530981; CHEMBL822,Terbinafine ; TERBINAFINE; TERBINAFINE HYDROCHLORIDE; Terbinafine,D01AE; D01BA,Small Molecule,NotAvailable,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
DB00859; ZINC000000114127; CHEMBL1430,Penicillamine ; DL-PENICILLAMINE; PENICILLAMINE; Penicillamine,M01CC,Small Molecule,NotAvailable,[H][C@](N)(C(O)=O)C(C)(C)S,CC(C)(S)[C@@H](N)C(=O)O
DB00860; ZINC000003833821; CHEMBL131,Prednisolone ; PREDNISOLONE; Prednisolone,A01AC; A07EA; C05AA; D07AA; D07BA; D07CA; D07XA; H02AB; L02BX; R01AD; S01BA; S01BB; S01CA; S01CB; S02BA; S02CA; S03BA; S03CA,Small Molecule,NotAvailable,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
DB00861; ZINC000000020243; CHEMBL898; JUAN17,Diflunisal ; DIFLUNISAL; Diflunisal; Diflunisal,N02BA,Small Molecule,NotAvailable,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
DB00862; CHEMBL1520,Vardenafil ; Vardenafil,G04BE,Small Molecule,NotAvailable,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12
DB00863; CHEMBL1790041; JUAN827,Ranitidine ; Ranitidine; Ranitidine,A02BA,Small Molecule,NotAvailable,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
DB00864; ZINC000169289411; CHEMBL3989887,Tacrolimus ; TACROLIMUS; Tacrolimus,D11AH; L04AD,Small Molecule,NotAvailable,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
DB00867,Ritodrine ,G02CA,Small Molecule,NotAvailable,C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1
DB00868; ZINC000003830276; CHEMBL1374379,Benzonatate ; BENZONATATE; Benzonatate,R05DB,Small Molecule,NotAvailable,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
DB00869; ZINC000001530621; CHEMBL218490,Dorzolamide ; DORZOLAMIDE; DORZOLAMIDE HYDROCHLORIDE; Dorzolamide,G01AE; S01EC,Small Molecule,NotAvailable,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
DB00870; CHEMBL956,Suprofen ; Suprofen,M01AE,Small Molecule,NotAvailable,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
DB00871; CHEMBL1760; JUAN728,Terbutaline ; Terbutaline; Terbutaline,R03AC; R03CC,Small Molecule,NotAvailable,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
DB00872,Conivaptan ,C03XA,Small Molecule,NotAvailable,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
DB00874; CHEMBL980; JUAN737,Guaifenesin ; Guaifenesin; Guaifenesin,R03DA; R05CA,Small Molecule,NotAvailable,COC1=CC=CC=C1OCC(O)CO,COc1ccccc1OCC(O)CO
DB00875; CHEMBL54661,Flupentixol ; Flupentixol,N05AF,Small Molecule,NotAvailable,[H]\C(CCN1CCN(CCO)CC1)=C1/C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
DB00876; ZINC000029319828; CHEMBL813,Eprosartan ; EPROSARTAN; EPROSARTAN MESYLATE; Eprosartan,C09CA; C09DA,Small Molecule,NotAvailable,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
DB00877; CHEMBL413,Sirolimus ; Sirolimus,L01EG; L04AA; L04AH; S01XA,Small Molecule,NotAvailable,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
DB00878; CHEMBL790,Chlorhexidine ; Chlorhexidine,A01AB; B05CA; D08AC; D09AA; R02AA; S01AX; S02AA; S03AA,Small Molecule,NotAvailable,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
DB00879; ZINC000003629271; CHEMBL885; D01199,Emtricitabine ; EMTRICITABINE; Emtricitabine; Emtriva,J05AF; J05AR,Small Molecule,NotAvailable,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
DB00880; ZINC000003872055,Chlorothiazide ; CHLOROTHIAZIDE; CHLOROTHIAZIDE SODIUM,C03AA; C03AB; C03AH; G01AE,Small Molecule,NotAvailable,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
DB00881; ZINC000003801163; CHEMBL1592,Quinapril ; QUINAPRIL; QUINAPRIL HYDROCHLORIDE; Quinapril,C09AA; C09BA,Small Molecule,NotAvailable,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
DB00882; CHEMBL2355051,Clomifene ; Clomifene,G03GB,Small Molecule,NotAvailable,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
DB00883; ZINC000018089317; CHEMBL6622,Isosorbide dinitrate ; ISOSORBIDE DINITRATE; Isosorbide dinitrate,C01DA; C05AE,Small Molecule,NotAvailable,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
DB00884; ZINC000001531009; CHEMBL923,Risedronic acid ; RISEDRONATE SODIUM; RISEDRONIC ACID; Risedronic acid,M05BA; M05BB,Small Molecule,NotAvailable,OC(CC1=CN=CC=C1)(P(O)(O)=O)P(O)(O)=O,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
DB00887; ZINC000003813061; CHEMBL1072; JUAN271,Bumetanide ; BUMETANIDE; Bumetanide; Bumetanide,C03CA; C03CB; C03EB; G01AE,Small Molecule,NotAvailable,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
DB00888; ZINC000002539484; CHEMBL427,Mechlorethamine ; MECHLORETHAMINE; MECHLORETHAMINE HYDROCHLORIDE; Chlormethine,L01AA,Small Molecule,NotAvailable,CN(CCCl)CCCl,CN(CCCl)CCCl
DB00889,Granisetron ,A04AA,Small Molecule,NotAvailable,CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2,CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2
DB00890; CHEMBL1018,Dienestrol ; Dienestrol,G03CB; G03CC,Small Molecule,NotAvailable,[H]\C(C)=C(/C(=C(\[H])C)/C1=CC=C(O)C=C1)\C1=CC=C(O)C=C1,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
DB00891; CHEMBL700,Sulfapyridine ; Sulfapyridine,G01AE; J01EB,Small Molecule,NotAvailable,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
DB00892; CHEMBL1200,Oxybuprocaine ; Oxybuprocaine,D04AB; S01HA,Small Molecule,NotAvailable,CCCCOC1=CC(=CC=C1N)C(=O)OCCN(CC)CC,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N
DB00896; ZINC000003945984; CHEMBL1200617,Rimexolone ; RIMEXOLONE; Rimexolone,H02AB; S01BA,Small Molecule,NotAvailable,[H][C@@]12C[C@@H](C)[C@](C)(C(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
DB00897; ZINC000000002212; CHEMBL646; JUAN126,Triazolam ; TRIAZOLAM; Triazolam; Triazolam,N05CD,Small Molecule,NotAvailable,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
DB00899; ZINC000000538283; CHEMBL1005; D01177,Remifentanil ; REMIFENTANIL; REMIFENTANIL HYDROCHLORIDE; Remifentanil; Ultiva,N01AH,Small Molecule,NotAvailable,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1
DB00900,Didanosine ,J05AF,Small Molecule,NotAvailable,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O,O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1
DB00902; CHEMBL1200959,Methdilazine ; Methdilazine,R06AD,Small Molecule,NotAvailable,CN1CCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1
DB00903; ZINC000000001382; CHEMBL456,Etacrynic acid ; ETHACRYNATE SODIUM; ETHACRYNIC ACID; Etacrynic acid,C03CC,Small Molecule,NotAvailable,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
DB00904; CHEMBL46; JUAN861,Ondansetron ; Ondansetron; Ondansetron,A04AA,Small Molecule,NotAvailable,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
DB00905; ZINC000004474405; CHEMBL1200963; D02724,Bimatoprost ; BIMATOPROST; Bimatoprost; Lumigan,S01EE,Small Molecule,NotAvailable,CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCC1=CC=CC=C1,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
DB00906; ZINC000003831531; CHEMBL1027,Tiagabine ; TIAGABINE; TIAGABINE HYDROCHLORIDE; Tiagabine,N03AG,Small Molecule,NotAvailable,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
DB00907; CHEMBL370805,Cocaine ; Cocaine,N01BC; R02AD; S01HA; S02DA,Small Molecule,NotAvailable,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
DB00908; ZINC000003831405; CHEMBL1294,Quinidine ; QUINIDINE; QUINIDINE GLUCONATE; QUINIDINE HYDROCHLORIDE; QUINIDINE SULFATE; Quinidine,C01BA,Small Molecule,NotAvailable,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
DB00909; ZINC000000004321; CHEMBL750; JUAN60,Zonisamide ; ZONISAMIDE; Zonisamide; Zonisamide,G01AE; N03AX,Small Molecule,NotAvailable,NS(=O)(=O)CC1=NOC2=CC=CC=C12,NS(=O)(=O)Cc1noc2ccccc12
